Index Name,Date,Open,High,Low,Close
NIFTY 50,2024-03-11,19554.25,19557.75,19412.75,19428.3
NIFTY 50,2024-03-12,19383.95,19465.85,19257.9,19434.55
NIFTY 50,2024-03-13,19369,19482.75,19317.2,19465
NIFTY 50,2024-03-14,19450.55,19461.55,19326.25,19365.25
NIFTY 50,2024-03-15,19301.75,19373.8,19253.6,19310.15
NIFTY 50,2024-03-16,19320.65,19425.95,19296.3,19393.6
NIFTY 50,2024-03-17,19417.1,19443.5,19381.3,19396.45
NIFTY 50,2024-03-18,19439.2,19472.05,19366.6,19444
NIFTY 50,2024-03-19,19535.15,19584.45,19369,19386.7
NIFTY 50,2024-03-20,19297.4,19339.55,19229.7,19265.8
NIFTY 50,2024-03-21,19298.35,19366.85,19249.7,19306.05
NIFTY 50,2024-03-22,19374.85,19377.9,19309.1,19342.65
NIFTY 50,2024-03-23,19433.45,19452.8,19334.75,19347.45
NIFTY 50,2024-03-24,19375.55,19388.2,19223.65,19253.8
NIFTY 50,2024-03-25,19258.15,19458.55,19255.7,19435.3
NIFTY 50,2024-03-26,19525.05,19545.15,19432.85,19528.8
NIFTY 50,2024-03-27,19564.65,19587.05,19525.75,19574.9
NIFTY 50,2024-03-28,19581.2,19636.45,19491.5,19611.05
NIFTY 50,2024-03-29,19598.65,19737,19550.05,19727.05
NIFTY 50,2024-03-30,19774.8,19867.15,19728.05,19819.95
NIFTY 50,2024-03-31,19890,20008.15,19865.35,19996.35
NIFTY 50,2024-04-01,20110.15,20110.35,19914.65,19993.2
NIFTY 50,2024-04-02,19989.5,20096.9,19944.1,20070
NIFTY 50,2024-04-03,20127.95,20167.65,20043.45,20103.1
NIFTY 50,2024-04-04,20156.45,20222.45,20129.7,20192.35
NIFTY 50,2024-04-05,20155.95,20195.35,20115.7,20133.3
NIFTY 50,2024-04-06,19980.75,20050.65,19878.85,19901.4
NIFTY 50,2024-04-07,19840.55,19848.75,19709.95,19742.35
NIFTY 50,2024-04-08,19744.85,19798.65,19657.5,19674.25
NIFTY 50,2024-04-09,19678.2,19734.15,19601.55,19674.55
NIFTY 50,2024-04-10,19682.8,19699.35,19637.45,19664.7
NIFTY 50,2024-04-11,19637.05,19730.7,19554,19716.45
NIFTY 50,2024-04-12,19761.8,19766.65,19492.1,19523.55
NIFTY 50,2024-04-13,19581.2,19726.25,19551.05,19638.3
NIFTY 50,2024-04-14,19622.4,19623.2,19479.65,19528.75
NIFTY 50,2024-04-15,19446.3,19457.8,19333.6,19436.1
NIFTY 50,2024-04-16,19521.85,19576.95,19487.3,19545.75
NIFTY 50,2024-04-17,19621.2,19675.75,19589.4,19653.5
NIFTY 50,2024-04-18,19539.45,19588.95,19480.5,19512.35
